Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,PS
"Gue selalu inget aja bahwa kucing itu hewan kesayangan Rasul, walaupun kalian jijik atau merasa terganggu yaudah gausah pakai kekerasan. Mereka kan binatang kalian manusia strata kepintarannya ya dibawah kalian banget tapi setidaknya yang waras yang nger",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Nelen lu enga bisa dicerna, perut lea menolak benda asing /?'",0,0,0,0,0,0,0,0,0,0,0,0,1
"anak cucunya, adalah penganut agama Yahudi atau Nasrani?"" Katakanlah: ""Apakah kamu lebih mengetahui ataukah'",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Mengajak terjun langsung dlm kehidupan nyata masyarakat dg melatih kepekaan sosial budaya, ekonomi, politik dll, untk meningkatkan IPK (indek pengembangan kolektiv) mulai diterapkan, tdk melulu prestasi kumulativ theorikal",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER boleh, temen aku muslim sekolah di sma katolik diperlakuin baik bgt kok'",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER USER USER USER Jejak masa lalu itulah yg akn mnjadi bumerang bg Indonesia utk bs d hormati dunia..; Saat ini Presiden USER tlh mngembalikan pamor Indonesia sbg Negara yg DISEGANI DUNIA.,0,0,0,0,0,0,0,0,0,0,0,0,1
"Saat Paul Pogba Selebrasi Gol, Terdengar Tiruan Suara Monyet URL",0,0,0,0,0,0,0,0,0,0,0,0,1
"Pak Suyanto, Mitra SP3 KUR Bank Artha Graha International | Optimis bersama Prog.Pemberdayaan ini | 142 Ha Padi Hitam &amp; 70 Ha Padi Putih, potensi panen tiap varietas capai 9 Ton/Ha Gabah Kering | Prog. ini jg lestarikan tradisi masyarakat Tani di Jawa",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER GUE BERLIPAT LIPAT.\n\nOGT LIDER KESAYANGAN YA, SKRG PADA KEMANA NICH PERGI KEBULAN NAEK ONTA?!'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bismillah.. Semoga ngga salah pilihan. ; ; Inget lohh milih gubernur itu sama kaya milih calon pasangan hidup. Harus tau bibit, bebet dan bobotnya. ; ; Jangan nyari yg hanya katanya. Tapi nyari yg udah benr2 kebukti.",0,0,0,0,0,0,0,0,0,0,0,0,1
Kemaren kayaknya ada yg quote tweet ttg kristen mana ya \xf0\x9f\xa4\x94',0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER wah berarti pernah makan bareng sama orang yahudi ya?benar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri? sekedar tanya sepertinya tau tentang orang yahudi',0,0,0,0,0,0,0,0,0,0,0,0,1
Ini mah keren abiez ð???ð???.,0,0,0,0,0,0,0,0,0,0,0,0,1
"Apa cuman admin yg kalo lagi go shore belanja sambil nyari makan dipelabuhan asing lalu dichat ama yg dijauh... pas tau lagi jalan2 langsung Write : \n""VC SEKARANG....!!!""\nlalu gue balas :\n""Ntar yank... lagi dijalan..rame..""\n\n*lalu_chat_gak_dibalas_s",0,0,0,0,0,0,0,0,0,0,0,0,1
Pria Belanda Ini Jadi Mualaf Usai Ikuti Perjalanan Islam Nusantara Oleh NU di Eropa,0,0,0,0,0,0,0,0,0,0,0,0,1
"menurut gue theist agnostic ini boss gue, dia islam turunan ayahnya, but doi nikah sama cewek katolik, ibunya katolik, mereka puasa etc tapi ga solat. why? mereka bukan males ibadah sih mereka punya paham sendiri tentang tuhan, ya situ mah kalo mang male",0,0,0,0,0,0,0,0,0,0,0,0,1
Gubernur Pastika Hadiri Sertijab Ketua Umum APPSI,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gatot berpikir dia akan mujur seperti SBY. ; SBY bisa menjadi presiden momentnya tepat, tak ada saingan berarti. Kl Gatot... Saatnya g tepat. Karya nyatanya belum ada. Menjadikan Gatot capres... Sama dengan mati langkah.",0,0,0,0,0,0,0,0,0,0,0,0,1
"RT RPGpedia ""Gubernur Jaman Now dekat dengan Rakyat pilih nomor 1; ; #KamiGanjarYasin ; #KandangBant3ng; ; Salamnya; #TemannyaRPG; #namakuRUDY; #TemannyaRUDY",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Semuanya bkn dari Nusantara.\nSemuanya import.\nHindu,Budha,Islam semua import.\nYg asli Nusantara Animisme'",0,0,0,0,0,0,0,0,0,0,0,0,1
"\xe3\x85\xa4\n Usai membaca pesan dari orang asing tersebut beberapa kali lagi, ia memutuskan untuk kembali menghubungi istrinya.\n\xe3\x85\xa4\n \xe2\x80\x9cMari coba bertemu dengannya terlebih dahulu. Kalau dia hanya gumpalan omong kosong, bunuh",0,0,0,0,0,0,0,0,0,0,0,0,1
"Kunci seorang menyanyi cma 1,tidak bisu'",0,0,0,0,0,0,0,0,0,0,0,0,1
"- Janji buka 10 juta lapangan pekerjaan tapi malah buat Perpres muluskan Tenaga Kerja Asing.; ; - Janji swamsembada pangan dalam 3 tahun, nyatanya Impor beras, garam, dll.; ; - Janji akan turunkan harga BBM dan Tarif Dasar Listrik, nyatanya BBM dan TDL din",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER USER USER USER USER USER USER USER USER USER PANASBUNG langganan.',0,0,0,0,0,0,0,0,0,0,0,0,1
KWSP buat penyumberan luar RM114.56 bilion,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER wkwkkw bg napadah, sma buat ngincer cowo yang ada lu keliyengan sama tugas dan beserta antek anteknya'",0,0,0,0,0,0,0,0,0,0,0,0,1
Dan saat ini pemerintah dengan serius memperhatikan pengembangan ekonomi umat di antaranya melalui program Bank Wakaq Mikro. ; ; #Moeldoko,0,0,0,0,0,0,0,0,0,0,0,0,1
Mengenal Walpri Perempuan dalam Pilkada Bondowoso â?? Radar Jember,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bisa bayangin ga kalau jadi presiden atau wakil presiden. Kerjanya ongkang"" kaki sambil ngutang pemasukan.",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Informasi peledakan kapal itu benar, tapi bukan kapal yg diberantas di jaman sekarang, tetapi di rezim sebelumnya karena peledakan kapal boleh dilakukan setelah ada ketetapan hukum, bisa dicek di lembaga hukum kita. Menghitung ikan di laut t",0,0,0,0,0,0,0,0,0,0,0,0,1
USER Wkwk jijik ma diri sendiri',0,0,0,0,0,0,0,0,0,0,0,0,1
PKH Super diciptakan untuk melengkapi Program Keluarga Harapan (PKH) yang dikembangkan Presiden Jokowi #PKHSuperGusIPulPuti,0,0,0,0,0,0,0,0,0,0,0,0,1
RT USER: Kenapa ya orang Indonesia ini disuruh tertib susah banget? Salah satu contohnya adalah tertib untuk tidak naik ke KRL se\xe2\x80\xa6',0,0,0,0,0,0,0,0,0,0,0,0,1
USER Anti Aseng kan waktu kampanye \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85',0,0,0,0,0,0,0,0,0,0,0,0,1
"Jokowi mengatakan, sebuah negara akan kuat bila umaroh (pemerintah) dan ulama berjalan beriringan dan selalu bersilaturahmi.",0,0,0,0,0,0,0,0,0,0,0,0,1
Saling Sinergi. . .; PRUKADES Dan BUMDES Pacu Pertumbuhan Ekonomi Desa; USER ; USER; USER; USER; USER; USER; USER; USER; USER; USER; USER; USER;,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Lama-lama berita ada bom dan teroris jadi terdengar 'biasa' kalau seperti ini. Kemarin lusa di wilayah Surabaya Barat katanya ada penggerebekan terduga teroris, tapi kucari beritanya di internet nggak ada, padahal di lokasi pada heboh. Berita",0,0,0,0,0,0,0,0,0,0,0,0,1
USER // Kucingnya sipit.',0,0,0,0,0,0,0,0,0,0,0,0,1
tas berisi bom yang ditemuin semalem deket kosan ternyata cuma tas isi alat kesehatan. bikin geger yang belom balik aja :( berisik banget kemaren mobil polisi',0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER Ini di sebut defisit negatif dlm ekonomi moneter,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER Kl mau meniru nabi, lajur utama buat onta, lajur kiri buat mobil dan motor.'",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Kebijakan pengembalian barang kpd konsumen yg dilakukan apabila barang tersebut rusak, cacat produksi atau konsumen merasa kurang puas dgn produk tersebut terhitung selama 7 hari dari tanggal pembelian.\n#HauzMiniQuiz #HauzID\nYuk ikutan\nUSER",0,0,0,0,0,0,0,0,0,0,0,0,1
"Kalo ak jadi Gubernur Bank, akan kuminta seluruh pecahan uang dicetak dengan wajah USER",0,0,0,0,0,0,0,0,0,0,0,0,1
"org yg dlm jail nak jadi islam. solat semua. kita yang islam ni. bila plk? kita dah tentu islam. angkat ganja, tak solat, badan tattoo, minum, gi club. tunggu masuk prison baru nak ubah ke??",0,0,0,0,0,0,0,0,0,0,0,0,1
Kepala Kerucut Tradisi Budaya yang BisaÂ Mematikan,0,0,0,0,0,0,0,0,0,0,0,0,1
aku adalah orang malam yang membicarakan terang soe hok gie,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Partainya si almarhum tapi.. mental ideologinya..? Anda tahu catatan kaki mereka..? Anda tahu kenapa ada klompok yg ingin meniadakan KOREM,KODIM,KORAMIL.? Zona merah masih tercatat rapi di Korem.kodim.koramil. pak rymizard ryacudu",0,0,0,0,0,0,0,0,0,0,0,0,1
Mendukung rezim yg merampas tanah termasuk yg destrukrif ngga? *eh',0,0,0,0,0,0,0,0,0,0,0,0,1
"â??Gubernur Superâ?? Anies Baswedan memberikan Kuliah di Universitas Hassan II Casablanca,Â Maroko",0,0,0,0,0,0,0,0,0,0,0,0,1
"RT USER: Aku punya sepupu yang pacaran ma pasangannya dari SD kali ya pas cinta monyet gitu, terus gedenya mereka kawin jadi #TemanTapiMe\xe2\x80\xa6'",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Gue juga suka, tapi dia ngga terlalu suka, dia ngefansnya sama binatang kelas atas macem hiu, ular, buaya, makanya baa baa black sheep diskip.'",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER Buat awal2 supaya gak nervous kalo foto sama ariel, foto sama saya aja dulu... \xf0\x9f\x98\x82 \xf0\x9f\x98\x82'",0,0,0,0,0,0,0,0,0,0,0,0,1
Jika memang kudu memberikan/menyantuni anak yatim piatu ya seharusnya ndak harus orang/si anak yatim piatu itu dari golongan muslim saja. Mau beragama kristen;katolik;hindu;budha dll-nya ya harusnya tetap disantuni.begitu nenurut aturan Agama Alloh.',0,0,0,0,0,0,0,0,0,0,0,0,1
USER Banyak industri tapi orang Cina yg kerja \nWkwkwk',0,0,0,0,0,0,0,0,0,0,0,0,1
"jadi, di #fwg2018 akan ada banyak sekali pertunjukan seni budaya yang banyak sekali, dan akan ada artis yang mendatangi event ini ##fwg2018",0,0,0,0,0,0,0,0,0,0,0,0,1
"aku ingin menjadi bagian dari dirimu, walaupun itu hanya setitik tai lalat di tubuhmu.'",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Sama seperti isu anti-islam dan antek asing yang ditujukan oleh *siapa ya* ke pak Jokowi dong ya min ?',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Hahahaha wah, jd saksi bisu kegalauan aku dong\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 ga di block wkkww ga sejahat itu kok'",0,0,0,0,0,0,0,0,0,0,0,0,1
kriminalisasi ulama?,0,0,0,0,0,0,0,0,0,0,0,0,1
"""Sekarang bulan Juli ya, berarti ulangtahun ku 5 bulan lagi (Bulan Desember) tanggal 25 Desember 2018. ulangtahun ku pas Hari Natal Berarti, ulangtahun ku di rayakan orang Kristen sedunia ???"" \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Dibanding beli go-xxxd dengan ongkir 4000, kupake kakiku jalan 20 menit dari kampus ke tempat makan. Cari makan juga yang banyak terus harga lumayan. Disini 13rb kamu dapat telur dadar, ayam kare sama sayur tumis kacang panjang. Mamen itu lumayan.'",0,0,0,0,0,0,0,0,0,0,0,0,1
Ada Kemungkinan Gaji ke-13 dan 14 PNS Dibayar Bulan Juni via USER,0,0,0,0,0,0,0,0,0,0,0,0,1
"Simak berita-berita ekonomi, bisnis, keuangan dan perbankan teraktual disini",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bak kata orang Indonesia tu, kalau pelaburan luar tak wujudkan peluang perkerjaan, itu bukan pelaburan tapi penjajahan ekonomi. Jangan kesal kemudian. Ubah selagi sempat. Yahoo",0,0,0,0,0,0,0,0,0,0,0,0,1
"Kata Sandiaga, Sampah di Kolong Tol Pelabuhan Sudah Ada Sejak Orde Baru",0,0,0,0,0,0,0,0,0,0,0,0,1
"Perbedaan tidak menghalangi kami untuk berteman. (Read: dr kiri agama katolik, islam, budha) #vscocam",0,0,0,0,0,0,0,0,0,0,0,0,1
Ungkapan dari Genghis Khan buat renungan kita: \xe2\x80\x9ckalau lah mereka boleh dipercayai mustahil mereka sanggup menentangi saudara sendiri demi padahal kita org asing bagi mereka\xe2\x80\x9d',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER USER USER USER Melalui Sedulur Ngaji semoga ALLAH ijinkan Gus Ipul,Mbak Puti jadi Gubernur dan Wagub Jatim",0,0,0,0,0,0,0,0,0,0,0,0,1
USER ngaco nih kunti',0,0,0,0,0,0,0,0,0,0,0,0,1
USER LAAAAHHHHH jackson dibilang sampah trs yg ngetweet apaan coba? :( mau liat akunnya dong kak heheh :(',0,0,0,0,0,0,0,0,0,0,0,0,1
kuliner arabpun menjadi bagian dari akulturasi budaya Arab-Indonesia yang terjadi sejak ratusan tahun lalu.,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER USER USER USER USER USER USER USER USER Mang di ktp ada tulisan cebong ?? Mas, ente butuh perhatian atau kasih sayang sih.'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bani: (makan pisang) ""kak han aku belom pernah lho liat orang kepleset karna kulit pisang"" trus dia naroh kulit pisang di lantai trus jalan sambil pura-pura ga liat.\n""Licin juga ternyata kak han""\nYha terserah\xf0\x9f\x98\xad'",0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER USER USER Kalo denger nama Nusantara jadi inget lagu Koes Plus atau Jamal Mirdad. Kebayang juga nama tokoh PKI yg dieksekusi mati oleh ABRI saat itu.... Hehee tebak siapa coba \xf0\x9f\x98\x83',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,0,0,0,0,0,0,0,0,0,0,0,1
"Laskar liar yang terdiri dari para penjahat, kelompok jawara yang ingin mengambil tanah-tanah milik para Tuan Tionghoa, dan Laskar Hitam'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Jangan kejang kejang ya Bong, ... keren, dewasa dan ngga malu maluin kan??",0,0,0,0,0,0,0,0,0,0,0,0,1
"â??fardu kifayahâ?? atau berhukum wajib dalam ajaran Islam. Pada pilpres mendatang, harus ada utusan dari kalangan santri yang disokong ulama untuk maju memimpin negeri.;",0,0,0,0,0,0,0,0,0,0,0,0,1
USER om kalo memang om belajar agama budha atau hindu yg bener seharusnya ga bgini. Coba belajar yg bener ya sebelum buka mulut,0,0,0,0,0,0,0,0,0,0,0,0,1
ahok targetkan audit kisruh bantar gebang selesai bulan ini ahok mengatakan audit ini akan digunakan untuk,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian. -3 Idiot'",0,0,0,0,0,0,0,0,0,0,0,0,1
Jalani hidup dengan munafik itu perlu agar terlihat profesional.\n\nDimana kamu sedang dalam cobaan tapi kamu harus berpura-pura tak ada masalah apapun.',0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER USER USER USER USER USER USER USER Sastra e karl mark. PENTOLAN komunis rusia.',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER SMA ku dulu negeri (dan termasuk yg favorit), jadi favorit buat yg minoritas karena ga jadi minoritas di sana. 50:50 yg muslim &amp; kristen/katolik. Di kelasku malah masing2 sepertiga. Ga tahu sekarang masih gitu/ga.'",0,0,0,0,0,0,0,0,0,0,0,0,1
untung bukan chan yang bilang duluan aja. kalo dia sih gue dalam radius ribuan atau jutaan kilometer dari sana udah jadi taplak meja.',0,0,0,0,0,0,0,0,0,0,0,0,1
USER Masih sipit ah',0,0,0,0,0,0,0,0,0,0,0,0,1
Yah sekian pandangan awam dari saya wkwwk sekali lg ini cuman pandangan awam gaada riset riset tai kuching apalah itu. Have a good day :)',0,0,0,0,0,0,0,0,0,0,0,0,1
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER USER USER USER USER USER USER USER USER USER USER km ga up date berita jokowi saat ini tdk bs meneruskan bbrp proyek alias mangkrak, usia pemerintahan msh seumur jag",0,0,0,0,0,0,0,0,0,0,0,0,1
USER Berdoa saja suatu saat keluarga anda tidak mengalami musibah di bom.. saya ingin melihat reaksi anda saat itu',0,0,0,0,0,0,0,0,0,0,0,0,1
Kalo ga merasa selingkuh kenapa harus risih..?\nSepandai kau simpan bangkai pada akhirnya akan kecium juga.\nWaktulah yg akan membuktikan.',0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Aish sipit :) \nMami juga ini malah main raket ama jin oppak',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Pak USER Saya harap KemAgama mau menggelar diskusi terbuka & beradab, sy siap memberi penjelasan",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER Terus klo utk UU MD3 yg bisa cepat selesai, siapa yg bisa dimaklumi jugakah karena isinya utk kepentingan para wakil rakyat yg tdk mewakili rakyat....'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bukan termasuk umatku orang yg tak menghormati orang tua,tidak menyayangi anak2 dan tidak memuliakan alim ulama.(HR Ahmad, Thabrani, Hakim)",0,0,0,0,0,0,0,0,0,0,0,0,1
"USER aktris dehh :\'( tar kamu jd transgender kalo aktor :""('",0,0,0,0,0,0,0,0,0,0,0,0,1
"Mungkin TGB bermaksud baik dgn dukung Jokowi, tp jgn lupa kasus fiktiF TGB dimaki2 di bandara Singapura oleh WNI Tionghoa (tokoh fiktif).'",0,0,0,0,0,0,0,0,0,0,0,0,1
Keterangan:; Para ulama menulis bahawa syarat untuk memperbaharui wuduk ialah wuduk lama itu telah digunakan untuk mana-mana ibadat.; (Bazl ul-Majhud),0,0,0,0,0,0,0,0,0,0,0,0,1
Kalau ini benar terjadi... Manusia perlu waspada!,0,0,0,0,0,0,0,0,0,0,0,0,1
USER Lagi pulang kampung doi ke Cina wkw',0,0,0,0,0,0,0,0,0,0,0,0,1
"Akun isinya \xe2\x80\x9canti aseng\xe2\x80\x9d \xe2\x80\x9ctolak aseng\xe2\x80\x9d \xe2\x80\x9cnon-pribumi\xe2\x80\x9d tapi terus ngeluh \xe2\x80\x9citu di Thailand kok banyak negara asing yang bantu, kita di danau Toba kok nggak ada yang bantuin?\xe2\x8",0,0,0,0,0,0,0,0,0,0,0,0,1
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,0,0,0,0,0,0,0,0,0,0,0,1
USER Aku berlindung kepada Allah dari godaan setan yg terkutuk. Aku memohon kepada Allah agar tidak merasa paling islam sendiri dan mudah menyahlahkan orang lain.',0,0,0,0,0,0,0,0,0,0,0,0,1
"Penyebab macetnya divestasi saham Freeport, salah satunya adalah terbitnya Peraturan Pemerintah Nomor 20 tahun 1994 yang menyatakan, perusahaan penanaman modal asing tidak diwajibkan mendivestasi sahamnya kepada pihak Indonesia.\n\n#Freeport51'",0,0,0,0,0,0,0,0,0,0,0,0,1
"Salah satu obyek vital yg pengamanannya lemah itu gedung DPR. Smg dgn disahkannya UU Antiterorisme yg baru, DPR tak jadi sasaran bom bunuh diri. Amin. *Tapi doa saya biasanya tak terkabul \xf0\x9f\x98\x89*'",0,0,0,0,0,0,0,0,0,0,0,0,1
Presiden Jokowi Soroti Minimnya Promosi Asian Games Presiden Jokow Widodo (Joko,0,0,0,0,0,0,0,0,0,0,0,0,1
USER Gara gara yang buat orang kafeer atau yahudi atau gimana. Coba aja mereka pake hp apasih emangnya hadeh. Ntar lama lama carrefour berubah nama jadi indomaret aja',0,0,0,0,0,0,0,0,0,0,0,0,1
"Dia nge-fans berat tuh ama Justin Timberlake, Usher. Kalo yang dari korea dia suka DBSK, Suju, Shinhwa, n Kim Tae Hee'",0,0,0,0,0,0,0,0,0,0,0,0,1
"7. Terakhir, adakah tips untuk para #updaters tentang time management yg efektif sebagai mahasiswa? USER #KUchat",0,0,0,0,0,0,0,0,0,0,0,0,1
CERITA &amp; LAGU - SI RAJA MONYET (BAGIAN PERTAMA) URL,0,0,0,0,0,0,0,0,0,0,0,0,1
USER USER Sabar saja.. sy fikir ini sebagian dari golongan rakyat indonesia yg bentuk fisiknya manusia tp punya jiwa komunis.. karena golongan komunis itu amat krisis sifat kemanusiaan',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER Jadi mandang orang lewat agama. Kaya biasanya gw gakpernah peduli ama agama orang. Trs jadi ada tulisan ""dia kristen"" di jidat dia kalo gw deket dia. Langsung nyes trs kepikiran ""haruskah gw move?""'",0,0,0,0,0,0,0,0,0,0,0,0,1
Sebelumnya 3 bank BUMN tersebut meminjam uang dari China. Kepada publik pemerintah mengatakan pinjaman tersebut untuk bangun infrastruktur. Tapi nyatanya sebagian besar digunakan untuk memfasilitasi China menguasai Newmont. Ini adalah perbuatan kongkalik,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kawasan Karst Maros-Pangkep seluas \xc2\xb1 40.000 Ha merupakan kawasan karst terluas dan terindah kedua di dunia setelah Cina,'",0,0,0,0,0,0,0,0,0,0,0,0,1
Jadikan aku antek-antek mu:))\nUSER \n\n#Gabut #EXO',0,0,0,0,0,0,0,0,0,0,0,0,1
dekalarasi pilkada 2018 aman dan anti hoax warga jemiran jabon,0,0,0,0,0,0,0,0,0,0,0,0,1
dekalarasi pilkada 2018 aman dan anti hoax guru tk balongtani jabon,0,0,0,0,0,0,0,0,0,0,0,0,1
Wong jowo menyebutnya dg set......hewan yg merubung bangkai',0,0,0,0,0,0,0,0,0,0,0,0,1
"USER USER Ora jlas.bari jdi gubernur udh smaunya, gemana jdi presiden",0,0,0,0,0,0,0,0,0,0,0,0,1
USER Kawasan Ekonomi Khusus Tarik Banyak Investor Pengembangan KEK ini diharapkan men,0,0,0,0,0,0,0,0,0,0,0,0,1
